"","transactionValue","transactionTypeCode","yearCode"
"1",0,"RM",2020
"2",0,"RM",2020
"3",0,"RM",2020
"4",0,"RM",2020
"5",0,"RM",2020
"6",0,"RM",2020
"7",0,"RM",2020
"8",0,"RM",2020
"9",0,"RM",2020
"10",0,"RM",2020
"11",0,"RM",2020
"12",0,"RM",2020
"13",0,"RM",2020
"14",0,"RM",2020
"15",0,"RM",2020
"16",0,"RM",2020
"17",0,"RM",2020
"18",0,"RM",2020
"19",0,"RM",2020
"20",0,"RM",2020
"21",0,"RM",2020
"22",0,"RM",2020
"23",0,"RM",2020
"24",0,"RM",2020
"25",0,"RM",2020
"26",0,"RM",2020
"27",0,"RM",2020
"28",0,"RM",2020
"29",0,"RM",2020
"30",0,"RM",2020
"31",0,"RM",2020
"32",0,"RM",2020
"33",0,"RM",2020
"34",0,"RM",2020
"35",0,"RM",2020
"36",0,"RM",2020
"37",0,"RM",2020
"38",0,"RM",2020
"39",0,"RM",2020
"40",0,"RM",2020
"41",0,"RM",2020
"42",0,"RM",2020
"43",0,"RM",2020
"44",0,"RM",2020
"45",0,"RM",2020
"46",0,"RM",2020
"47",0,"RM",2020
"48",0,"RM",2020
"49",0,"RM",2020
"50",0,"RM",2020
"51",0,"RM",2020
"52",0,"RM",2020
"53",0,"RM",2020
"54",0,"RM",2020
"55",0,"RM",2020
"56",0,"RM",2020
"57",0,"RM",2020
"58",0,"RM",2020
"59",0,"RM",2020
"60",0,"RM",2020
"61",0,"RM",2020
"62",0,"RM",2020
"63",0,"RM",2020
"64",0,"RM",2020
"65",0,"RM",2020
"66",0,"RM",2020
"67",0,"RM",2020
"68",0,"RM",2020
"69",0,"RM",2020
"70",0,"RM",2020
"71",0,"RM",2020
"72",0,"RM",2020
"73",0,"RM",2020
"74",0,"RM",2020
"75",0,"RM",2020
"76",0,"RM",2020
"77",0,"RM",2020
"78",0,"RM",2020
"79",0,"RM",2020
"80",0,"RM",2020
"81",0,"RM",2020
"82",0,"RM",2020
"83",0,"RM",2020
"84",0,"RM",2020
"85",0,"RM",2020
"86",0,"RM",2020
"87",0,"RM",2020
"88",0,"RM",2020
"89",0,"RM",2020
"90",0,"RM",2020
"91",0,"RM",2020
"92",0,"RM",2020
"93",0,"RM",2020
"94",0,"RM",2020
"95",0,"RM",2020
"96",0,"RM",2020
"97",0,"RM",2020
"98",0,"RM",2020
"99",0,"RM",2020
"100",0,"RM",2020
"101",0,"RM",2020
"102",0,"RM",2020
"103",0,"RM",2020
"104",0,"RM",2020
"105",0,"RM",2020
"106",0,"RM",2020
"107",0,"RM",2020
"108",0,"RM",2020
"109",0,"RM",2020
"110",0,"RM",2020
"111",0,"RM",2020
"112",0,"RM",2020
"113",0,"RM",2020
"114",0,"RM",2020
"115",0,"RM",2020
"116",0,"RM",2020
"117",0,"RM",2020
"118",0,"RM",2020
"119",0,"RM",2020
"120",0,"RM",2020
"121",0,"RM",2020
"122",0,"RM",2020
"123",0,"RM",2020
"124",0,"RM",2020
"125",0,"RM",2020
"126",0,"RM",2020
"127",0,"RM",2020
"128",0,"RM",2020
"129",0,"RM",2020
"130",0,"RM",2020
"131",0,"RM",2020
"132",0,"RM",2020
"133",0,"RM",2020
"134",0,"RM",2020
"135",0,"RM",2020
"136",0,"RM",2020
"137",0,"RM",2020
"138",0,"RM",2020
"139",0,"RM",2020
"140",0,"RM",2020
"141",0,"RM",2020
"142",0,"RM",2020
"143",0,"RM",2020
"144",0,"RM",2020
"145",0,"RM",2020
"146",0,"RM",2020
"147",0,"RM",2020
"148",0,"RM",2020
"149",0,"RM",2020
"150",0,"RM",2020
"151",0,"RM",2020
"152",0,"RM",2020
"153",0,"RM",2020
"154",0,"RM",2020
"155",0,"RM",2020
"156",0,"RM",2020
"157",0,"RM",2020
"158",0,"RM",2020
"159",0,"RM",2020
"160",0,"RM",2020
"161",0,"RM",2020
"162",0,"RM",2020
"163",0,"RM",2020
"164",0,"RM",2020
"165",0,"RM",2020
"166",0,"RM",2020
"167",0,"RM",2020
"168",0,"RM",2020
"169",0,"RM",2020
"170",0,"RM",2020
"171",23.6294164667364,"RM",2020
"172",33.7620484926251,"RM",2020
"173",41.5919448938983,"RM",2020
"174",57.3903406761007,"RM",2020
"175",64.7279543518671,"RM",2020
"176",66.6167919676843,"RM",2020
"177",92.3312087626127,"RM",2020
"178",96.4743464940932,"RM",2020
"179",106.127488462851,"RM",2020
"180",115.59603249959,"RM",2020
"181",126.172933970809,"RM",2020
"182",131.351218547736,"RM",2020
"183",136.31775136462,"RM",2020
"184",181.856677017057,"RM",2020
"185",182.438767461554,"RM",2020
"186",183.701190124869,"RM",2020
"187",199.038711236342,"RM",2020
"188",207.459023421792,"RM",2020
