"","transactionValue","transactionTypeCode","yearCode"
"1",0,"RM",2022
"2",0,"RM",2022
"3",0,"RM",2022
"4",0,"RM",2022
"5",0,"RM",2022
"6",0,"RM",2022
"7",0,"RM",2022
"8",0,"RM",2022
"9",0,"RM",2022
"10",0,"RM",2022
"11",0,"RM",2022
"12",0,"RM",2022
"13",0,"RM",2022
"14",0,"RM",2022
"15",0,"RM",2022
"16",0,"RM",2022
"17",0,"RM",2022
"18",0,"RM",2022
"19",0,"RM",2022
"20",0,"RM",2022
"21",0,"RM",2022
"22",0,"RM",2022
"23",0,"RM",2022
"24",0,"RM",2022
"25",0,"RM",2022
"26",0,"RM",2022
"27",0,"RM",2022
"28",0,"RM",2022
"29",0,"RM",2022
"30",0,"RM",2022
"31",0,"RM",2022
"32",0,"RM",2022
"33",0,"RM",2022
"34",0,"RM",2022
"35",0,"RM",2022
"36",0,"RM",2022
"37",0,"RM",2022
"38",0,"RM",2022
"39",0,"RM",2022
"40",0,"RM",2022
"41",0,"RM",2022
"42",0,"RM",2022
"43",0,"RM",2022
"44",0,"RM",2022
"45",0,"RM",2022
"46",0,"RM",2022
"47",0,"RM",2022
"48",0,"RM",2022
"49",0,"RM",2022
"50",0,"RM",2022
"51",0,"RM",2022
"52",0,"RM",2022
"53",0,"RM",2022
"54",0,"RM",2022
"55",0,"RM",2022
"56",0,"RM",2022
"57",0,"RM",2022
"58",0,"RM",2022
"59",0,"RM",2022
"60",0,"RM",2022
"61",0,"RM",2022
"62",0,"RM",2022
"63",0,"RM",2022
"64",0,"RM",2022
"65",0,"RM",2022
"66",0,"RM",2022
"67",0,"RM",2022
"68",0,"RM",2022
"69",0,"RM",2022
"70",0,"RM",2022
"71",0,"RM",2022
"72",0,"RM",2022
"73",0,"RM",2022
"74",0,"RM",2022
"75",0,"RM",2022
"76",0,"RM",2022
"77",0,"RM",2022
"78",0,"RM",2022
"79",0,"RM",2022
"80",0,"RM",2022
"81",0,"RM",2022
"82",0,"RM",2022
"83",0,"RM",2022
